event_id,kickoff,home,away,home_key,away_key,home_sp,away_sp,proj_home,actual_home,model_err,market_err,archival_home_spread,opening_home_spread,selected_side,selected_team,sel_proj,sel_actual,edge,rec,action,action_roll,ats,units,proj_ok,time_ok,ident_ok,result_ok,sbucket,ebucket,move,absmove
401532409,2023-09-30T19:30:00.000Z,Western Michigan,Ball State,WMU,Ball St.,-19.6,-19.2,2.099999999999998,18,-15.900000000000002,-16.5,-1.5,-1.0,home,Western Michigan,2.099999999999998,18,0.6,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,0–6.5,<1.0,-0.5,0.5
401532411,2023-09-30T19:30:00.000Z,Toledo,Northern Illinois,Toledo,NIU,2.1,-17.8,22.400000000000002,2,20.400000000000002,11.0,-13.0,-12.5,home,Toledo,22.400000000000002,2,9.4,Value,Model Play,Model Play,loss,0.25,True,True,True,True,21–27.5,7.0–9.9,-0.5,0.5
401520293,2023-09-30T20:00:00.000Z,Vanderbilt,Missouri,Vanderbilt,Missouri,-5.3,11.3,-14.100000000000001,-17,2.8999999999999986,3.5,13.5,13.5,away,Missouri,14.100000000000001,17,0.6,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,14–20.5,<1.0,0.0,0.0
401531429,2023-09-30T20:00:00.000Z,Memphis,Boise State,Memphis,Boise St.,6.5,1.8,7.2,3,4.2,0.5,-3.5,-3.5,home,Memphis,7.2,3,3.7,Lean,Review Only,Review Only,loss,0.0,True,True,True,True,7–13.5,2.0–3.9,0.0,0.0
401532586,2023-09-30T20:00:00.000Z,UNLV,Hawai'i,UNLV,Hawaii,-8.2,-16.4,10.7,24,-13.3,-13.0,-11.0,-11.0,away,Hawai'i,-10.7,-24,0.3,No Play,No Play,Guarded / Other,loss,0.0,True,True,True,True,7–13.5,<1.0,0.0,0.0
401532588,2023-09-30T20:00:00.000Z,Wyoming,New Mexico,Wyoming,New Mexico,-6.5,-16.1,12.100000000000001,9,3.1000000000000014,5.0,-14.0,-14.5,away,New Mexico,-12.100000000000001,-9,1.9,Watch,Review Only,Review Only,win,0.0,True,True,True,True,7–13.5,1.0–1.9,0.5,0.5
401520288,2023-09-30T22:00:00.000Z,Ole Miss,LSU,Ole Miss,LSU,15.3,15.6,2.200000000000001,6,-3.799999999999999,-8.5,2.5,4.5,home,Ole Miss,2.200000000000001,6,4.7,Value,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,4.0–6.9,-2.0,2.0
401524024,2023-09-30T22:30:00.000Z,Stanford,Oregon,Stanford,Oregon,-9.3,24.3,-31.1,-36,4.899999999999999,9.0,27.0,27.0,away,Oregon,31.1,36,4.1,Value,Review Only,Review Only,win,0.0,True,True,True,True,28+,4.0–6.9,0.0,0.0
401525852,2023-09-30T23:00:00.000Z,Oklahoma,Iowa State,Oklahoma,Iowa St.,22.6,4.3,20.8,30,-9.2,-10.0,-20.0,-20.0,home,Oklahoma,20.8,30,0.8,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,21–27.5,<1.0,0.0,0.0
401531414,2023-09-30T23:00:00.000Z,Rice,East Carolina,Rice,ECU,-13.3,-11.7,0.8999999999999986,7,-6.100000000000001,-3.5,-3.5,-3.0,away,East Carolina,-0.8999999999999986,-7,2.6,Lean,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,2.0–3.9,-0.5,0.5
401531878,2023-09-30T23:00:00.000Z,Georgia Southern,Coastal Carolina,Ga. Southern,Coastal Caro.,-3.3,1.5,-2.3,10,-12.3,-3.5,-6.5,-6.5,away,Coastal Carolina,2.3,-10,8.8,Value,Model Play,Model Play,loss,0.25,True,True,True,True,0–6.5,7.0–9.9,0.0,0.0
401531879,2023-09-30T23:00:00.000Z,Georgia State,Troy,Georgia St.,Troy,-1.2,-1.8,3.1,-21,24.1,22.5,-1.5,-1.5,home,Georgia State,3.1,-21,1.6,Watch,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,1.0–1.9,0.0,0.0
401531883,2023-09-30T23:00:00.000Z,Southern Miss,Texas State,So. Miss,Texas St.,-13.9,-8.3,-3.0999999999999996,-14,10.9,9.0,5.0,7.0,home,Southern Miss,-3.0999999999999996,-14,1.9,Watch,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,1.0–1.9,-2.0,2.0
401520281,2023-09-30T23:30:00.000Z,Iowa,Michigan State,Iowa,Michigan St.,7.1,1.6,8.0,10,-2.0,2.5,-12.5,-11.5,away,Michigan State,-8.0,-10,4.5,Value,Review Only,Review Only,win,0.0,True,True,True,True,7–13.5,4.0–6.9,-1.0,1.0
401520291,2023-09-30T23:30:00.000Z,Tennessee,South Carolina,Tennessee,S. Carolina,17.9,6.3,14.099999999999998,21,-6.900000000000002,-8.5,-12.5,-13.0,home,Tennessee,14.099999999999998,21,1.6,Watch,Review Only,Review Only,win,0.0,True,True,True,True,14–20.5,1.0–1.9,0.5,0.5
401525438,2023-09-30T23:30:00.000Z,Duke,Notre Dame,Duke,Notre Dame,14.6,19.7,-2.5999999999999996,-7,4.4,1.5,5.5,6.5,home,Duke,-2.5999999999999996,-7,2.9,Lean,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,2.0–3.9,-1.0,1.0
401531404,2023-09-30T23:30:00.000Z,SMU,Charlotte,SMU,Charlotte,2.3,-18.7,23.5,18,5.5,5.5,-23.5,-23.0,away,Charlotte,-23.5,-18,0.0,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,21–27.5,<1.0,-0.5,0.5
401525516,2023-10-01T00:00:00.000Z,Virginia Tech,Pittsburgh,Va. Tech,Pittsburgh,-4.5,3.7,-5.699999999999999,17,-22.7,-19.5,2.5,2.5,away,Pittsburgh,5.699999999999999,-17,3.2,Lean,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,2.0–3.9,0.0,0.0
401525853,2023-10-01T00:00:00.000Z,TCU,West Virginia,TCU,W. Virginia,14.0,2.5,14.0,-3,17.0,15.5,-12.5,-10.5,home,TCU,14.0,-3,1.5,Watch,Review Only,Review Only,loss,0.0,True,True,True,True,14–20.5,1.0–1.9,-2.0,2.0
401531882,2023-10-01T00:00:00.000Z,UL Monroe,App State,ULM,App. St.,-18.0,-2.5,-13.0,-1,-12.0,-12.5,13.5,13.5,home,UL Monroe,-13.0,-1,0.5,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,7–13.5,<1.0,0.0,0.0
401532589,2023-10-01T00:00:00.000Z,Air Force,San Diego State,Air Force,San Diego St.,6.3,-7.7,16.5,39,-22.5,-28.5,-10.5,-10.5,home,Air Force,16.5,39,6.0,Value,Review Only,Review Only,win,0.0,True,True,True,True,14–20.5,4.0–6.9,0.0,0.0
401520285,2023-10-01T01:00:00.000Z,Mississippi State,Alabama,Miss. St.,Alabama,4.6,22.3,-15.200000000000003,-23,7.799999999999997,8.5,14.5,11.5,away,Alabama,15.200000000000003,23,0.7,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,14–20.5,<1.0,3.0,3.0
401524021,2023-10-01T02:00:00.000Z,Arizona,Washington,Arizona,Washington,4.5,25.1,-18.1,-7,-11.100000000000001,-13.0,20.0,18.0,home,Arizona,-18.1,-7,1.9,Watch,Review Only,Review Only,win,0.0,True,True,True,True,14–20.5,1.0–1.9,2.0,2.0
401532587,2023-10-01T02:30:00.000Z,Fresno State,Nevada,Fresno St.,Nevada,5.2,-20.8,28.5,18,10.5,6.5,-24.5,-24.5,home,Fresno State,28.5,18,4.0,Value,Review Only,Review Only,loss,0.0,True,True,True,True,28+,4.0–6.9,0.0,0.0
