workbook_team,model_team,rating,resolution
Southern Miss,So. Miss,-12.1,2023_eligibility
Stanford,Stanford,-9.6,2023_eligibility
Syracuse,Syracuse,8.7,2023_eligibility
TCU,TCU,10.4,2023_eligibility
Temple,Temple,-13.2,2023_eligibility
Tennessee,Tennessee,16.3,2023_eligibility
Texas,Texas,23.1,2023_eligibility
Texas A&M,Texas A&M,19.2,2023_eligibility
Texas State,Texas St.,-6.0,2023_eligibility
Texas Tech,Texas Tech,10.6,2023_eligibility
Toledo,Toledo,1.4,2023_eligibility
Troy,Troy,1.8,2023_eligibility
Tulane,Tulane,5.7,2023_eligibility
Tulsa,Tulsa,-7.1,2023_eligibility
UAB,UAB,-11.3,2023_eligibility
UCF,UCF,11.2,2023_eligibility
UCLA,UCLA,16.1,2023_eligibility
Connecticut,UConn,-19.9,explicit_workbook_alias
UL-Monroe,ULM,-13.5,explicit_workbook_alias
Massachusetts,UMass,-17.2,2023_eligibility
UNLV,UNLV,-6.1,2023_eligibility
USC,USC,19.8,2023_eligibility
USF,USF,-10.4,explicit_workbook_alias
UTEP,UTEP,-15.8,2023_eligibility
UTSA,UTSA,-1.5,2023_eligibility
Utah,Utah,12.5,2023_eligibility
Utah State,Utah St.,-9.1,2023_eligibility
Virginia Tech,Va. Tech,-0.3,2023_eligibility
Vanderbilt,Vanderbilt,-4.2,2023_eligibility
Virginia,Virginia,-8.5,2023_eligibility
West Virginia,W. Virginia,4.3,2023_eligibility
Western Kentucky,WKU,-6.5,2023_eligibility
Western Michigan,WMU,-16.2,2023_eligibility
Wake Forest,Wake Forest,3.7,2023_eligibility
Washington State,Wash. St.,14.4,2023_eligibility
Washington,Washington,21.9,2023_eligibility
Wisconsin,Wisconsin,13.2,2023_eligibility
Wyoming,Wyoming,-3.1,2023_eligibility
