workbook_team,model_team,rating,resolution
Marshall,Marshall,-4.0,2023_eligibility
Maryland,Maryland,9.9,2023_eligibility
Memphis,Memphis,5.5,2023_eligibility
Miami-FL,Miami,10.6,explicit_workbook_alias
Miami-OH,Miami-OH,-11.7,explicit_workbook_alias
Michigan,Michigan,29.2,2023_eligibility
Michigan State,Michigan St.,5.9,2023_eligibility
Minnesota,Minnesota,13.2,2023_eligibility
Mississippi State,Miss. St.,12.5,2023_eligibility
Missouri,Missouri,10.8,2023_eligibility
North Carolina,N. Carolina,13.2,2023_eligibility
North Texas,N. Texas,-8.8,2023_eligibility
NC State,NC St.,9.8,2023_eligibility
Northern Illinois,NIU,-16.7,2023_eligibility
New Mexico State,NMSU,-20.9,2023_eligibility
Navy,Navy,-14.9,2023_eligibility
Nebraska,Nebraska,3.3,2023_eligibility
Nevada,Nevada,-14.1,2023_eligibility
New Mexico,New Mexico,-20.5,2023_eligibility
Northwestern,Northwestern,-6.9,2023_eligibility
Notre Dame,Notre Dame,20.7,2023_eligibility
Old Dominion,ODU,-17.8,2023_eligibility
Ohio,Ohio,-11.3,2023_eligibility
Ohio State,Ohio St.,29.6,2023_eligibility
Oklahoma,Oklahoma,19.0,2023_eligibility
Oklahoma State,Oklahoma St.,10.4,2023_eligibility
Ole Miss,Ole Miss,17.4,2023_eligibility
Oregon,Oregon,19.1,2023_eligibility
Oregon State,Oregon St.,11.4,2023_eligibility
Penn State,Penn St.,23.2,2023_eligibility
Pittsburgh,Pittsburgh,10.6,2023_eligibility
Purdue,Purdue,3.6,2023_eligibility
Rice,Rice,-17.0,2023_eligibility
Rutgers,Rutgers,-5.8,2023_eligibility
South Alabama,S. Alabama,1.5,2023_eligibility
South Carolina,S. Carolina,12.0,2023_eligibility
Sam Houston,SHSU,-17.1,2023_eligibility
SMU,SMU,6.3,2023_eligibility
San Diego State,San Diego St.,-4.7,2023_eligibility
San Jose State,San Jose St.,-12.7,explicit_workbook_alias
Southern Miss,So. Miss,-11.4,2023_eligibility
Stanford,Stanford,-9.9,2023_eligibility
Syracuse,Syracuse,4.3,2023_eligibility
TCU,TCU,14.9,2023_eligibility
Temple,Temple,-12.6,2023_eligibility
Tennessee,Tennessee,22.5,2023_eligibility
Texas,Texas,22.5,2023_eligibility
Texas A&M,Texas A&M,18.6,2023_eligibility
Texas State,Texas St.,-18.4,2023_eligibility
Texas Tech,Texas Tech,11.7,2023_eligibility
Toledo,Toledo,-2.0,2023_eligibility
Troy,Troy,1.8,2023_eligibility
Tulane,Tulane,7.4,2023_eligibility
Tulsa,Tulsa,-11.2,2023_eligibility
UAB,UAB,-12.1,2023_eligibility
UCF,UCF,9.6,2023_eligibility
UCLA,UCLA,12.2,2023_eligibility
Connecticut,UConn,-19.3,explicit_workbook_alias
UL-Monroe,ULM,-18.7,explicit_workbook_alias
Massachusetts,UMass,-23.7,2023_eligibility
UNLV,UNLV,-14.2,2023_eligibility
USC,USC,21.1,2023_eligibility
USF,USF,-14.3,explicit_workbook_alias
UTEP,UTEP,-15.9,2023_eligibility
UTSA,UTSA,4.6,2023_eligibility
Utah,Utah,18.7,2023_eligibility
Utah State,Utah St.,-15.4,2023_eligibility
Virginia Tech,Va. Tech,-2.5,2023_eligibility
Vanderbilt,Vanderbilt,-5.5,2023_eligibility
Virginia,Virginia,-6.0,2023_eligibility
West Virginia,W. Virginia,2.8,2023_eligibility
Western Kentucky,WKU,-6.7,2023_eligibility
Western Michigan,WMU,-16.9,2023_eligibility
Wake Forest,Wake Forest,6.6,2023_eligibility
Washington State,Wash. St.,5.0,2023_eligibility
Washington,Washington,17.2,2023_eligibility
Wisconsin,Wisconsin,16.2,2023_eligibility
Wyoming,Wyoming,-9.1,2023_eligibility
