season,display_team,model_team,classification,source,source_url,notes
2023,New Mexico,New Mexico,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,New Mexico State,NMSU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,North Carolina,N. Carolina,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,North Texas,N. Texas,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Northern Illinois,NIU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Northwestern,Northwestern,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Notre Dame,Notre Dame,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Ohio,Ohio,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Ohio State,Ohio St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Oklahoma,Oklahoma,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
